Term ID,Class,Description,Status,Effective Date,Type,Notes,TM5,NCL Version
007-1724,7,Mechanical shovels,A,03/29/2012,GOODS,,,"""10-2012"""
007-172,7,Wire brushes for use in machines,A,04-02-1991,GOODS,,,"""07-1997"""
007-1717,7,Gas-operated blow torches,A,12/30/2010,GOODS,,T,"""09-2007"""
007-1714,7,Chemical fiber drying machines,A,07/20/2004,GOODS,,,"""10-2012"""
007-1707,7,Vending machines,M,01-01-2012,GOODS,"On 1-1-2012, this Class 9 electric or electrothermic apparatus entry of 3-15-1993 was transferred to Class 7 (as machines), pursuant to the 10th Edition of the Nice Agreement.",T,"""10-2012"""
007-1703,7,Soldering lamps,M,01-01-2012,GOODS,1-1-2012 This entry of 8-1-2006 was transferred from Class 11 to Class 7 in accordance with the 10th Edition of the Nice Agreement.,T,"""10-2012"""
007-1701,7,Galvanizing machines,M,01-01-2012,GOODS,"On 1-1-2012, this Class 9 electric or electrothermic apparatus entry of 1-1-2005 was transferred to Class 7 (as machines), pursuant to the 10th Edition of the Nice Agreement.",T,"""10-2012"""
007-170,7,Wheels being parts of machines,A,04-02-1991,GOODS,,,"""07-1997"""
007-1697,7,"Door closers, electric",M,01-01-2012,GOODS,"On 1-1-2012, this Class 9 electric or electrothermic apparatus entry of 7-30-2009 was transferred to Class 7 (as machines), pursuant to the 10th Edition of the Nice Agreement.",T,"""10-2012"""
007-1694,7,Automatic vending machines and mechanisms for coin-operated apparatus sold as a unit,M,08-02-2012,GOODS,"On 1-1-2012, this Class 9 electric or electrothermic apparatus entry of 11-8-2007 was transferred to Class 7 (as machines), pursuant to the 10th Edition of the Nice Agreement. On 8-2-2012, ""automatic vending machines and mechanisms for coin-operated apparatus sold as a unit"" has been amended to include the language ""sold as a unit"" to make clear that the ""mechanisms for coin-operated apparatus"" are part of, or sold with the vending machine because the stand-alone ""mechanisms for coin-operated apparatus"" is in Class 9.",,"""10-2012"""
007-1690,7,Welding torches,M,01-01-2012,GOODS,"On 1-1-2012, this Class 9 electric or electrothermic apparatus entry of 9-4-2001 was transferred to Class 7 (as machines), pursuant the 10th Edition of the Nice Agreement.",T,"""10-2012"""
007-169,7,Washing machines for clothes,A,04-02-1991,GOODS,,,"""07-1997"""
007-1688,7,"Parts and attachments for weaving machines and for weaving looms, and weaving machine parts, namely, weft-yarn selecting units, warp-typing machines, hand knotting and splicing machines, cam motion machines for weaving looms, dobbies, Jacquard looms, Jacquard and dobby cads, selvedge and false selvedge apparatus for weaving looms, automatic exchange systems consisting primarily of warp and cloth beam and quick-style change loom harnesses, beams and beam flanges for weaving looms, reeds, reed cleaning and brushing machines, healds, heald frames, harnesses, temples, cones, tubes and pirns for weaving, pickers and lug straps, flexible rapier tapes, grippers for weaving looms, cutters for weaving machines, rapier machines, yarn feeders, weft feeders, yarn deflectors, warp stop motions, weft stop motions, weft accumulators, stands and creels for weaving loom accessories",X,12/23/2010,GOODS,"07-04-2013: Status changed from ""A"" - Added to ""X"" - example.",,"""10-2013"""
007-1687,7,"Hydraulic pumps and motors for hydrostatic systems, comprised of pumps, motors, valves, switches, sensors and electronic controls, for hydraulic drives and force transmission in machines, machine tools, grinding and food processing machines and in off-road-vehicles",A,12-09-2010,GOODS,,,"""09-2007"""
007-1685,7,"Clothes washing machine featuring a wash cycle that circulates water over the balance ring on top of the clothes accomplished through a spinning basket during wash, which sheds water up the tub wall, over the balance ring, and on top of the clothes",A,08-05-2010,GOODS,,,"""09-2007"""
007-1683,7,"Replacement parts for machines, namely, replacement parts for trench excavators, drag-line excavators, hoisting machines, locomotive cranes, shoveling machines, power shovels and log handling machines, namely, chassis parts, hydraulic and pneumatic parts",A,04/30/2009,GOODS,,,"""09-2007"""
007-1682,7,"Precision machine tools, namely, hard metal tools, high speed steel (HSS) tools, carbide tools, ceramic tools, poly crystalline diamond (PCD) tools, and diamond-coated and diamond-uncoated tools, and hard metal tools, all for use in the cutting and forming of materials by others",A,08/21/2008,GOODS,,,"""09-2007"""
007-1681,7,"Machines and lines composed thereof for the production of automobile parts, parts for the aforementioned machines, particularly foaming lines, die-cutting machines, molding presses, scoring machines, laminating machines, water jet cutting machines, milling machines, long fiber injection machines, parts for the aforementioned machines, particularly foaming tools, die-casting tools, die-cutting tools, molding tools, laminating tools",A,07/31/2008,GOODS,,,"""10-2012"""
007-168,7,"Vehicle parts, namely, carburetors",A,04-02-1991,GOODS,,,"""07-1997"""
007-1276,7,"Pressure switches and sensors for monitoring, controlling, and switching hydraulic or pneumatic systems sold as an integral component of injection molding machines",X,08-07-2008,GOODS,"07-04-2013: Status changed from ""A"" - Added to ""X"" - example.",,"""10-2013"""
007-1275,7,Pressure transducers and transmitters that convert hydraulic or pneumatic pressure into analog electrical signals for monitoring and controlling hydraulic or pneumatic systems sold as a unit with manufacturing machines,X,08-07-2008,GOODS,"07-04-2013: Status changed from ""A"" - Added to ""X"" - example.",,"""10-2013"""
007-1274,7,"Coating machines and lines for web products, parts for the aforementioned machines, particularly doctors, nozzles, application units",A,07/31/2008,GOODS,,,"""09-2007"""
007-1272,7,"Machines and lines composed thereof for the production and processing of floor coverings, wallpaper, paper webs, films and technical textiles",A,07/31/2008,GOODS,,,"""09-2007"""
007-1271,7,"Machines and lines composed thereof for the production of automobile parts, technical textiles",A,07/31/2008,GOODS,,,"""09-2007"""
007-1270,7,High-voltage generators,A,07/31/2008,GOODS,,T,"""09-2007"""
007-127,7,Aircraft engines,A,04-02-1991,GOODS,,,"""07-1997"""
007-1269,7,"Machines for the production and processing of web products, and structural parts thereof and lines composed thereof",A,07/31/2008,GOODS,,,"""09-2007"""
007-1268,7,"Biodiesel-generation machines, namely, mixing equipment, pumps and heaters",A,07/31/2008,GOODS,,,"""09-2007"""
007-1266,7,"Winding machines, packaging machines, conveying machines, particularly conveyor belts, roller conveyors and carrier rollers for web materials",A,07/31/2008,GOODS,,,"""09-2007"""
007-1264,7,Automatic sprayers for electrostatic painting,A,07/31/2008,GOODS,,T,"""09-2007"""
007-1263,7,Paint supply cartridges sold empty for use with industrial painting machines,A,07/17/2008,GOODS,,,"""09-2007"""
007-1262,7,Tube motors for adjusting window blinds,A,06/26/2008,GOODS,,,"""09-2007"""
007-1260,7,Industrial sewing machines,A,06-12-2008,GOODS,,T,"""09-2007"""
007-1256,7,"Multi-purpose, electric countertop food preparation apparatus, namely, a combination meat tenderizer and marinator, for household use",A,05/22/2008,GOODS,,,"""09-2007"""
007-1255,7,Drive system having two or more synchronous motors coupled through clutches to drive a common load,A,05/22/2008,GOODS,,,"""09-2007"""
007-1254,7,"Machinery, namely, for the mechanical recycling of EPS (expanded polystyrene) and synthetic resinous materials",A,05/15/2008,GOODS,,,"""09-2007"""
007-1253,7,Machinery for the mechanical recycling of synthetic resinous materials,A,05/15/2008,GOODS,,,"""09-2007"""
007-1252,7,"Hydraulic controls for machines, motors and engines",A,05-08-2008,GOODS,,,"""09-2007"""
007-1250,7,Power-operated hand-held dispenser for attachment to liquid containers for use in dispensing liquids,A,05-01-2008,GOODS,,,"""09-2007"""
007-125,7,Electric vegetable peelers,A,04-02-1991,GOODS,,,"""07-1997"""
007-1249,7,"Automotive parts, namely, turbocharger systems",A,05-01-2008,GOODS,,,"""09-2007"""
007-1247,7,"Metal welding machines, namely, saws and cutters",A,04/17/2008,GOODS,,,"""09-2007"""
007-1246,7,Tables specially adapted to hold powered machinery,A,04-10-2008,GOODS,,,"""09-2007"""
007-1243,7,Grinding machines for the treatment of ceramics and metal,A,03/27/2008,GOODS,,T,"""09-2007"""
007-1242,7,"Agricultural seed planting machines, namely sowers",A,03/27/2008,GOODS,,,"""09-2007"""
007-1241,7,"Compressors as parts of machines, motors and engines",A,03/27/2008,GOODS,,T,"""09-2007"""
007-1239,7,Laminating machines for industrial use,A,02/14/2008,GOODS,,,"""09-2007"""
007-1238,7,Pillow cleaning machines,A,02-07-2008,GOODS,,,"""09-2007"""
006-802,6,Metal forgings for turbines,A,08-02-2007,GOODS,,,"""09-2007"""
006-801,6,Copper clad laminates for use in the manufacture of printed circuit boards,A,07/26/2007,GOODS,,,"""09-2007"""
006-800,6,Metal panels in the nature of suppressors for preventing vortex formations in liquids,A,07/19/2007,GOODS,,,"""09-2007"""
006-80,6,Metal doors,A,04-02-1991,GOODS,,,"""07-1997"""
006-8,6,Busts of non-precious metal,A,04-02-1991,GOODS,,,"""07-1997"""
006-799,6,Iron and steel for use as raw materials for automobile parts,A,07-12-2007,GOODS,,,"""09-2007"""
006-797,6,Metal tent poles,A,06/21/2007,GOODS,,,"""09-2007"""
006-796,6,Beverage pouch made of flexible foil,A,06/21/2007,GOODS,,,"""09-2007"""
006-795,6,Animal enclosures in the nature of {specify prefabricated or modular} metal stables,A,06/14/2007,GOODS,,,"""09-2007"""
006-794,6,"Metal construction materials, namely, exhaust vent hoses for external ventilation of furnaces, heaters, stoves and boilers",A,05/24/2007,GOODS,,,"""09-2007"""
006-793,6,Metal safety doors,A,05/18/2007,GOODS,,,"""09-2007"""
006-792,6,"Mobile boarding stairs, of metal, for passengers",A,05-10-2007,GOODS,,,"""09-2007"""
006-79,6,Metal doorknockers,A,04-02-1991,GOODS,,,"""07-1997"""
006-789,6,"Aluminum tape used to join panels for use in wall, attic, ceiling and flooring applications in the building industry",A,05-03-2007,GOODS,,,"""09-2007"""
006-788,6,Metal dasher boards,A,04/19/2007,GOODS,,,"""09-2007"""
006-787,6,Metal in-ground sewage and water run-off basins,A,04/19/2007,GOODS,,,"""09-2007"""
006-786,6,Metal cable trays used in building construction,A,04/19/2007,GOODS,,,"""09-2007"""
006-785,6,"Brick siding components, namely metal track and metal clips",A,04-12-2007,GOODS,,,"""09-2007"""
006-784,6,Piggy banks of metal,D,01-01-2012,GOODS,"1-1-2012 Under the 10th Edition of the Nice Agreement, all piggy banks, regardless of material composition, were transferred to Class 21, as household/domestic containers, with the exception of toy piggy banks, which the USPTO classifies in Class 28 as toys. Therefore this entry of 3-29-2007 has been deleted.",,"""10-2012"""
006-781,6,Aluminum recognition plaques,A,03/15/2007,GOODS,,,"""09-2007"""
006-780,6,Bronze recognition plaques,A,03/15/2007,GOODS,,,"""09-2007"""
006-779,6,Reinforcing materials of metal for building purposes,A,03-08-2007,GOODS,,,"""09-2007"""
006-778,6,Sheet metal [not of precious metal],A,03-08-2007,GOODS,Sheets of precious metal or sheet metal of precious metal is in Class 14,,"""09-2007"""
006-777,6,Tree protectors of metal,A,03-08-2007,GOODS,,T,"""09-2007"""
006-776,6,Vats of metal,A,03-08-2007,GOODS,,T,"""09-2007"""
006-774,6,Towel hooks of metal,A,02/22/2007,GOODS,,,"""09-2007"""
006-773,6,"Common metals, unwrought and semi-worked, for further manufacture",A,02/22/2007,GOODS,,T,"""09-2007"""
006-772,6,Metal alloys for use in the manufacture of metal sputtering targets,A,02/15/2007,GOODS,,,"""09-2007"""
006-661,6,Portable metal risers for performance groups,A,08-01-2004,GOODS,,,"""08-2002"""
006-659,6,Metal domestic shrines,A,08-01-2004,GOODS,,,"""08-2002"""
006-656,6,Vendor booths made primarily of metal,A,08-01-2004,GOODS,,,"""08-2002"""
006-654,6,Crucibles of common metal and their alloys,A,08-01-2004,GOODS,,,"""08-2002"""
006-650,6,Metal stepladders and ladders,A,07/20/2004,GOODS,,T,"""08-2002"""
006-649,6,Metal stanchions,A,07/20/2004,GOODS,,T,"""08-2002"""
006-647,6,Metallic materials for railway tracks,A,07/20/2004,GOODS,,T,"""08-2002"""
006-646,6,Metallic frames for sliding doors,A,07/20/2004,GOODS,,T,"""08-2002"""
006-645,6,Metallic fire doors,A,07/20/2004,GOODS,,T,"""08-2002"""
006-644,6,Metallic drain traps,A,07/20/2004,GOODS,,T,"""08-2002"""
006-642,6,Metallic armoured doors,A,07/20/2004,GOODS,,T,"""08-2002"""
006-641,6,Zinc-coated steel sheets,A,07/20/2004,GOODS,,T,"""08-2002"""
006-640,6,Zinc ores,A,07/20/2004,GOODS,,T,"""08-2002"""
006-639,6,Zinc ingots,A,07/20/2004,GOODS,,T,"""08-2002"""
006-637,6,Zinc alloy ingots,A,07/20/2004,GOODS,,T,"""08-2002"""
006-636,6,Metal door frames for refrigerating rooms,A,07/20/2004,GOODS,,T,"""08-2002"""
006-634,6,Metal hose clamps,A,07/20/2004,GOODS,,T,"""08-2002"""
006-633,6,Metal greenhouses,A,07/20/2004,GOODS,,T,"""08-2002"""
006-630,6,Metal pipes for liquid and gas transfer,A,07/20/2004,GOODS,,T,"""08-2002"""
006-63,6,Aluminum foil paper,A,04-02-1991,GOODS,,,"""07-1997"""
006-629,6,Metal penstock pipes,A,07/20/2004,GOODS,"While most metal pipes and their metal parts are in Class 6, those that are parts of sanitary installations are in Class 11.",T,"""08-2002"""
006-627,6,Metal moulds for forming cement products,D,03/15/2012,GOODS,"On 03-15-2012, this 07-20-2004 entry was deleted from the Manual, and it is no longer acceptable, because the wording ""cement products"" is too broad under USPTO ID policy.",,"""10-2012"""
006-626,6,Iron pyrites,A,07/20/2004,GOODS,,T,"""08-2002"""
006-625,6,Iron ores,A,07/20/2004,GOODS,,T,"""08-2002"""
006-623,6,Internal floating lids of aluminium for use with gas or liquefied gas storage tanks,A,07/20/2004,GOODS,,T,"""08-2002"""
006-622,6,"Industrial packaging containers of metal [not including metal stoppers, lids and caps]",A,07/20/2004,GOODS,,T,"""08-2002"""
006-621,6,Industrial packaging containers of metal,A,07/20/2004,GOODS,,T,"""08-2002"""
006-620,6,Hollow steel bars,A,07/20/2004,GOODS,,T,"""08-2002"""
006-62,6,Aluminum foil,A,04-02-1991,GOODS,,,"""07-1997"""
006-619,6,Hat-hanging hooks of metal,A,07/20/2004,GOODS,,T,"""08-2002"""
006-618,6,Hard solder,A,07/20/2004,GOODS,,T,"""08-2002"""
006-617,6,Galvanized steel sheets,A,07/20/2004,GOODS,,T,"""08-2002"""
006-1314,6,Tile flooring of metal,A,01-01-2014,GOODS,,T,"""10-2013"""
006-1313,6,Roofing tiles of metal,A,01-01-2014,GOODS,,T,"""10-2013"""
006-1310,6,Paving blocks of metal,A,07-04-2013,GOODS,,T,"""10-2013"""
006-1309,6,Fittings of metal for windows,A,05/30/2013,GOODS,,T,"""10-2013"""
006-1308,6,Cast steel,A,05/30/2013,GOODS,"Cast steel is a steel alloy including carbon, manganese, phosphorus, silicon, and sulfur and is cast into a shape instead of wrought.",T,"""10-2013"""
006-1306,6,Metal sewer pipes,A,08-06-2001,GOODS,,T,"""07-1997"""
006-1304,6,Metal gates,A,04-02-1991,GOODS,,T,"""07-1997"""
006-1303,6,Metal wire fencing,A,04-02-1991,GOODS,,T,"""07-1997"""
006-1301,6,Pitons of metal,M,01-01-2014,GOODS,"08-01-2003 Indication of material composition needed to comply with Nice Agreement. On 01-01-2014, this 08-01-2003 entry 'Mountaineering equipment, namely, pitons of metal' was modified, pursuant to the Nice Classification, Tenth edition, version 2014, effective 1-1-14, by deleting the wording 'Mountaineering equipment, namely.' A piton is a pointed piece of metal used in rock climbing that is hammered into a crack in the rock in order to hold the rope which is attached to the climber. Specification of pitons of metal as 'mountaineering equipment' is permissible, but is no longer required.",T,"""10-2013"""
006-1295,6,Luminous paving blocks of metal,A,01-01-2014,GOODS,,,"""10-2013"""
006-1292,6,"Metal identification bracelets [non-precious metal, not jewelry]",M,01-01-2014,GOODS,"On 01-01-2014, this 04-02-1991 entry ""Metal identification bracelets [non-precious metal]"" was modified to add the wording ""not jewelry"" in order to clarify that these goods are not jewelry. Non-precious metal bracelets in the nature of jewelry are classified in Class 14.",,"""10-2013"""
006-1291,6,Crayfish traps of metal,A,11/28/2013,GOODS,,,"""10-2013"""
006-1290,6,Muselets in the nature of wire closures for bottles,X,11-07-2013,GOODS,,,"""10-2013"""
006-1289,6,Metal hydraulically-operated overhead doors,X,08/29/2013,GOODS,,,"""10-2013"""
006-1286,6,Furniture fittings of metal,A,07-04-2013,GOODS,,,"""10-2013"""
006-1285,6,Metal supports for use as outdoor post foundations,A,07-04-2013,GOODS,,,"""10-2013"""
006-1282,6,Coffin fittings of metal,A,07-04-2013,GOODS,,,"""10-2013"""
006-1274,6,Tension links of metal,A,06/20/2013,GOODS,"Tension links are metal hardware used in connecting chain, wire rope or other rigging to minimize torsional effects in load lifting",,"""10-2013"""
006-1264,6,Metal harnesses for handling loads,A,05/30/2013,GOODS,,,"""10-2013"""
006-1260,6,Ferrotitanium [titanium iron],A,05/30/2013,GOODS,Ferrotitanium is a metal alloy primarily of iron and titanium and appears in the Nice Alphabetical List in Class 6.,,"""10-2013"""
006-1257,6,Metal mounting brackets for general use,A,05/30/2013,GOODS,,,"""10-2013"""
006-1255,6,Metal reinforcing materials for concrete,A,05/30/2013,GOODS,,,"""10-2013"""
006-1254,6,Metal braces for handling loads,A,05/30/2013,GOODS,,,"""10-2013"""
006-1252,6,Metal furniture casters,A,05/30/2013,GOODS,,,"""10-2013"""
006-1251,6,Metal window fittings,A,05/30/2013,GOODS,,,"""10-2013"""
006-1248,6,Shutters of metal,A,05/16/2013,GOODS,,T,"""10-2013"""
006-1247,6,Collapsible tubes of metal,A,05/16/2013,GOODS,,T,"""10-2013"""
006-1246,6,Ceiling boards of metal,A,05/16/2013,GOODS,,T,"""10-2013"""
006-1245,6,Metal laminated leaf-springs [not machine elements],A,05/16/2013,GOODS,,T,"""10-2013"""
006-1244,6,Door knobs of common metal,A,05/16/2013,GOODS,,T,"""10-2013"""
006-1243,6,Metal stoppers for industrial packaging containers,A,05/16/2013,GOODS,,T,"""10-2013"""
006-1242,6,Floor boards of metal,A,05/16/2013,GOODS,,T,"""10-2013"""
007-1582,7,Aeronautic engines,A,12-02-2010,GOODS,,T,"""09-2007"""
007-158,7,Conveyor belts made of wire,A,04-02-1991,GOODS,,,"""07-1997"""
007-1579,7,Filling machines and parts thereof,A,11-11-2010,GOODS,,,"""09-2007"""
007-1578,7,Packaging machines and parts thereof,A,11-11-2010,GOODS,,,"""09-2007"""
007-1577,7,"Power tools, namely, silicone pistols",A,11-04-2010,GOODS,,,"""09-2007"""
007-1576,7,Glaziers' diamonds being parts of machines,A,10/28/2010,GOODS,,T,"""09-2007"""
007-1575,7,Gear lever knobs for machines,A,10/28/2010,GOODS,"Although these goods are referred to as knobs in the ID, these goods are functionally different from door knobs or cabinet knobs on which users would pull to cause the door or cabinet to open. Therefore, these goods are classified according to the function or purpose rather than material composition (door knobs and cabinet knobs are classified according to material composition under the Nice Agreement).",,"""09-2007"""
007-1574,7,Handbrake knobs for machines,A,10/28/2010,GOODS,"Although these goods are referred to as knobs in the ID, these goods are functionally different from door knobs or cabinet knobs on which users would pull to cause the door or cabinet to open. Therefore, these goods are classified according to the function or purpose rather than material composition (door knobs and cabinet knobs are classified according to material composition under the Nice Agreement).",,"""09-2007"""
007-1573,7,Head studs for engines,A,10/28/2010,GOODS,,,"""09-2007"""
007-1571,7,Edible paste making machines,A,10/21/2010,GOODS,,T,"""09-2007"""
007-1570,7,Hydraulic power units,A,10/21/2010,GOODS,,,"""09-2007"""
007-1569,7,Gravel and dirt sorting and screening machines,A,10-07-2010,GOODS,,,"""09-2007"""
007-1568,7,Electric power generators for emergency use,A,10-07-2010,GOODS,These goods are in the Nice Agreement's Alphabetical List in Class 7.,T,"""09-2007"""
007-1567,7,"Machine parts, namely, gear drives",A,10-07-2010,GOODS,"Gear drives are mechanical devices for altering the speed, torque, or direction of rotating shafts.",,"""09-2007"""
007-1566,7,Air filters for gear drives,A,10-07-2010,GOODS,"Air filters for mechanical purposes are in Class 7. Gear drives are mechanical devices for altering the speed, torque, or direction of rotating shafts. Therefore, air filters for gear drives are in Class 7.",,"""09-2007"""
007-1565,7,"Machine parts, namely, polishing discs for {specify type of machines, e.g., floor polishing machines, etc.}",A,09/30/2010,GOODS,,,"""09-2007"""
007-1564,7,"Power-operated cleaning machines, namely, lances designed to mechanically remove scale and sludge from secondary side tubesheets in steam generators in nuclear power plants",A,09/23/2010,GOODS,,,"""09-2007"""
007-1563,7,"Industrial surface treatment equipment, namely, vacuum plasma treatment systems comprised of a high frequency, high voltage generator, controls, and treatment chamber and structural parts therefor",A,09/16/2010,GOODS,,,"""09-2007"""
007-1562,7,Sausage making machines,A,09/16/2010,GOODS,,T,"""09-2007"""
007-1561,7,"Industrial surface treatment equipment, namely, corona treatment systems comprised of a high frequency, high voltage generator, transformers, electrodes, ozone filter and treatment station and structural parts therefor",A,09/16/2010,GOODS,,,"""09-2007"""
007-1560,7,Machines to seal in floor staining and floor polishing preparations,A,09/16/2010,GOODS,,,"""09-2007"""
007-1559,7,"Car washing and vacuuming equipment, namely, machines for washing the exterior surface of an automobile vehicle and vacuuming the interior of such vehicle, where the equipment is manually-operated by the user",A,09/16/2010,GOODS,,,"""09-2007"""
007-1558,7,Floor staining and floor polishing machines,A,09/16/2010,GOODS,,,"""09-2007"""
007-1557,7,"Industrial surface treatment equipment, namely, plasma treatment systems comprised of a high frequency, high voltage generator, treating heads and nozzles and structural parts therefor",A,09/16/2010,GOODS,,,"""09-2007"""
007-1621,7,"Machine elements not for land vehicles, namely, shock prevention devices for machines",A,01/20/2011,GOODS,,,"""09-2007"""
007-1620,7,"Machine tools, namely, powered machines for cutting or shaping or finishing metals or other materials",A,01/20/2011,GOODS,,,"""09-2007"""
007-1619,7,Offshore rig pipe-handling machinery,A,01/20/2011,GOODS,,,"""09-2007"""
007-1618,7,"Machine elements not for land vehicles, namely, ball transfer table units",A,01/20/2011,GOODS,,,"""09-2007"""
007-1617,7,"Machine elements not for land vehicles, namely, pneumatic ball transfer units",A,01/20/2011,GOODS,,,"""09-2007"""
007-1616,7,"Machine elements not for land vehicles, namely, ball transfer units",A,01/20/2011,GOODS,,,"""09-2007"""
007-1615,7,Silencers for motors and engines,A,01/13/2011,GOODS,,T,"""09-2007"""
007-1613,7,"Electric fans, ventilators and blowers for motors and engines",A,12/23/2010,GOODS,,,"""09-2007"""
007-1610,7,Chains for conveyors,A,12/23/2010,GOODS,,,"""09-2007"""
007-1609,7,Garbage disposals featuring apparatus that aids in draining water,A,12/16/2010,GOODS,,,"""09-2007"""
007-1608,7,Air filters for pneumatic controls being part of machines,A,12-09-2010,GOODS,,,"""09-2007"""
007-1607,7,"Components for machines and machine tools, grinding machines, material handling machines, food processing machines, chemistry processing machines and textile industry machines, namely, sand, chemical and reverse osmosis filters",A,12-09-2010,GOODS,,,"""09-2007"""
007-1606,7,"Components for machines and machine tools, namely, sand, chemical and reverse osmosis filters",A,12-09-2010,GOODS,,,"""09-2007"""
007-1605,7,"Tractor-towed agricultural instruments, namely, silage cutters",A,12-09-2010,GOODS,,,"""09-2007"""
007-1604,7,"Tractor-towed agricultural instruments, namely, silage forks",A,12-09-2010,GOODS,,,"""09-2007"""
007-1603,7,"Tractor-towed agricultural instruments, namely, bale splitters",A,12-09-2010,GOODS,,,"""09-2007"""
007-1602,7,"Tractor-towed agricultural instruments, namely, pallet fork lifters",A,12-09-2010,GOODS,,,"""09-2007"""
007-1601,7,"Tractor-towed agricultural instrument grab attachments, namely, buckets, grapples and forks",A,12-09-2010,GOODS,,,"""09-2007"""
007-1600,7,"Tractor-towed agricultural instruments, namely, manure forks",A,12-09-2010,GOODS,,,"""09-2007"""
007-16,7,Power blowers for lawn debris,A,04-02-1991,GOODS,,,"""07-1997"""
007-1599,7,"Tractor-towed agricultural instruments, namely, forks",A,12-09-2010,GOODS,,,"""09-2007"""
007-1598,7,"Tractor-towed agricultural instruments, namely, buckets",A,12-09-2010,GOODS,,,"""09-2007"""
007-1597,7,"Tractor-towed agricultural instruments, namely, grapples",A,12-09-2010,GOODS,,,"""09-2007"""
007-1596,7,Oil-water separators for pneumatic controls being part of machines,A,12-09-2010,GOODS,,,"""09-2007"""
007-1595,7,Diffusers used in machines for wastewater and clean water treatment,A,12-09-2010,GOODS,,,"""09-2007"""
007-1594,7,Diffusers used in machines for wastewater and clearwater treatment,A,12-09-2010,GOODS,,,"""09-2007"""
007-1592,7,"Tractor-towed agricultural instrument attachments, namely, mechanical and hydraulic arms for use as bale carriers",A,12-09-2010,GOODS,,,"""09-2007"""
007-1591,7,"Tractor-towed agricultural instruments, namely, bale forks",A,12-09-2010,GOODS,,,"""09-2007"""
007-1590,7,"Tractor-towed agricultural instruments, namely, bale spikes",A,12-09-2010,GOODS,,,"""09-2007"""
007-1589,7,"Tractor-towed agricultural instruments, namely, root forks",A,12-09-2010,GOODS,,,"""09-2007"""
007-1588,7,"Tractor-towed agricultural instruments, namely, stone forks",A,12-09-2010,GOODS,,,"""09-2007"""
007-1587,7,"Tractor-towed agricultural instruments, namely, potato forks",A,12-09-2010,GOODS,,,"""09-2007"""
007-1586,7,Memory chip manufacturing machines,A,12-02-2010,GOODS,,T,"""09-2007"""
007-1585,7,Combine harvesters,A,12-02-2010,GOODS,,T,"""09-2007"""
007-1584,7,Blades for power tools,A,12-02-2010,GOODS,,,"""09-2007"""
007-1178,7,Heat exchangers being parts of engines not for land vehicles,A,08/23/2007,GOODS,,,"""09-2007"""
007-1177,7,"Internal combustion engine parts, namely, heads",A,08/23/2007,GOODS,,,"""09-2007"""
007-1175,7,Powered ramps to move luggage on to airplanes,A,08-09-2007,GOODS,,,"""09-2007"""
007-1174,7,Gas compressors,A,08-09-2007,GOODS,,,"""09-2007"""
007-1173,7,Fluid power component kit comprising hose and fittings for use in machinery,A,08-09-2007,GOODS,,,"""09-2007"""
007-1172,7,Powered tire changer machines for land vehicles,A,08-02-2007,GOODS,,,"""09-2007"""
007-1171,7,Block type thermal power stations for power generation,A,08-02-2007,GOODS,,,"""09-2007"""
007-1170,7,Gas generators for powering jet engines being a component part of jet engines,A,08-02-2007,GOODS,,,"""09-2007"""
007-1169,7,Fitted tarps for power machinery,A,08-02-2007,GOODS,,,"""09-2007"""
007-1168,7,"Laundry centers, namely, a clothes washer combined with a clothes dryer",A,07/26/2007,GOODS,,,"""09-2007"""
007-1167,7,"Enhancement parts for internal combustion engines, namely, fuel catalysts",A,06/28/2007,GOODS,,,"""09-2007"""
007-1166,7,"Machine parts that heat and maintain temperature in machine piping systems, namely, steam jacketing, electrical tracing, and insulation sold as integral components of finished machines",X,06/28/2007,GOODS,"08-29-2013: Entry status changed from ""A"" added to ""X"" example.",,"""10-2013"""
007-1165,7,"Electric motors for use in cameras, namely, for use in positioning lenses in cameras",A,06/28/2007,GOODS,,,"""09-2007"""
007-1163,7,"Agricultural machinery and attachments therefor, namely, rotary mowers, box scrapers, and three-point attachments",A,06/14/2007,GOODS,,,"""09-2007"""
007-1162,7,"Storage machinery, namely, a vertical hoist for raising and storing recreational equipment, sporting goods and household items elevated from ground level",A,05/31/2007,GOODS,,,"""09-2007"""
007-1161,7,"Power drill accessories, namely, non-electrical adapters for use in joining extensions and power drill bits",A,05/31/2007,GOODS,,,"""09-2007"""
007-1160,7,"Motors, namely, synchronous motors not for land vehicles",A,05/31/2007,GOODS,,,"""09-2007"""
007-1159,7,"Motors, namely, alternating current motors not for land vehicles",A,05/31/2007,GOODS,,,"""09-2007"""
007-1158,7,Tire chains and over-the-tire track systems for skid-steer loaders and other construction machinery,A,05/24/2007,GOODS,,,"""09-2007"""
007-1157,7,"Pond and water garden aeration systems comprising water pumps, air compressors, air blowers and a finned wheel for pressurizing and aerating ponds and aquariums",X,05/18/2007,GOODS,"07-04-2013: Status changed from ""A"" - Added to ""X"" - example.",,"""10-2013"""
007-1156,7,Aerated beverage making machines,A,05-10-2007,GOODS,,T,"""09-2007"""
007-1152,7,"Machine for repair, polishing, buffing and scratch removal on optical discs, CDs, DVDs",A,05-03-2007,GOODS,,,"""09-2007"""
007-1151,7,Hand-held battery actuated hydraulic crimp tool,A,05-03-2007,GOODS,,,"""09-2007"""
007-1150,7,Power-operated tire mounting machines,A,04/26/2007,GOODS,,,"""09-2007"""
