Term ID,Class,Description,Status,Effective Date,Type,Notes,TM5,NCL Version
009-3568,9,Electronic communications systems comprised of computer hardware and recorded software for the transmission of data between two points,M,05/30/2019,GOODS,"On 03-26-2019, this 11-26-2009 entry was changed by inserting the term ""recorded"" in compliance with Nice 11-2019. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. The term ""recorded"" has been inserted in this case because it is the most common format for these goods.",,"""11-2019"""
009-808,9,"Global positioning system (GPS) consisting of computers, computer software, transmitters, receivers, and network interface devices",D,05/30/2019,GOODS,"On 05-30-2019, this 07-01-2001 entry was deleted in compliance with Nice 11-2019 because it is indefinite. As written, the nature of the computer software is unclear. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable. See the similar existing entry ""Global positioning system (GPS)"" in Class 9.",,"""11-2019"""
009-5585,9,"Office electrical power automation systems comprised of computer hardware, wireless and wired controllers, and downloadable software for automating {indicate what is being automated, e.g., appliances, lighting, HVAC, security, electrical power, etc.}",A,05/30/2019,GOODS,,,"""11-2019"""
009-2471,9,"Home and office automation systems comprising wireless and wired controllers, controlled devices, and software for lighting, HVAC, security, safety and other home and office monitoring and control applications",D,05/30/2019,GOODS,"On 05-30-2019, this 01-25-2007 entry was deleted in compliance with Nice 11-2019 because it is indefinite. As written, the nature of the software is unclear. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable. This entry was replaced by the entries ""Home and office automation systems comprised of computer hardware, wireless and wired controllers, and downloadable software for automating {indicate what is being automated, e.g., appliances, lighting, HVAC, security, electrical power, etc.},"" ""Home automation systems comprised of computer hardware, wireless and wired controllers, and downloadable software for automating {indicate what is being automated, e.g., appliances, lighting, HVAC, security, electrical power, etc.},"" and ""Office automation systems comprised of computer hardware, wireless and wired controllers, and downloadable software for automating {indicate what is being automated, e.g., appliances, lighting, HVAC, security, electrical power, etc.},"" respectively, in Class 9.",,"""11-2019"""
009-5586,9,"Home and office automation systems comprised of computer hardware, wireless and wired controllers, and downloadable software for automating {indicate what is being automated, e.g., appliances, lighting, HVAC, security, electrical power, etc.}",A,05/30/2019,GOODS,,,"""11-2019"""
009-5587,9,"Home automation systems comprised of computer hardware, wireless and wired controllers, and downloadable software for automating {indicate what is being automated, e.g., appliances, lighting, HVAC, security, electrical power, etc.}",A,05/30/2019,GOODS,,,"""11-2019"""
009-5588,9,"Office automation systems comprised of computer hardware, wireless and wired controllers, and downloadable software for automating {indicate what is being automated, e.g., appliances, lighting, HVAC, security, electrical power, etc.}",A,05/30/2019,GOODS,,,"""11-2019"""
009-5343,9,"Home automation hubs comprised of voice-activated speakers, computer hardware, and software for {indicate function, e.g., controlling networked devices in the internet of things (IoT), operating internet-enabled and connected lighting apparatus and home security alarms, etc.}",D,05/30/2019,GOODS,"On 01-01-2019, this 07-26-2018 entry was deleted in compliance with Nice 11-2019. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable. This entry has been replaced by two entries for downloadable and recorded formats of these goods, respectively, in Class 9.",,"""11-2019"""
009-5589,9,"Home automation hubs comprised of voice-activated speakers, computer hardware, and recorded software for {indicate function, e.g., controlling networked devices in the internet of things (IoT), operating internet-enabled and connected lighting apparatus and home security alarms, etc.}",A,05/30/2019,GOODS,,,"""11-2019"""
009-5590,9,"Home automation hubs comprised of voice-activated speakers, computer hardware, and downloadable software for {indicate function, e.g., controlling networked devices in the internet of things (IoT), operating internet-enabled and connected lighting apparatus and home security alarms, etc.}",A,05/30/2019,GOODS,,,"""11-2019"""
030-457,30,Crystal sugar [not confectionery],D,01-01-2020,GOODS,"On 01-01-2020, this 07-20-2004 entry was deleted because the nature of the goods is unclear.",,"""11-2020"""
030-733,30,Couscous [semolina],D,01-01-2020,GOODS,"On 01-01-2020, this 04-02-1991 entry ""Couscous [semolina]"" was deleted in compliance with Nice 11-2020. The entry was replaced by ""Couscous"" in Class 30.",,"""11-2020"""
029-1851,29,Prepared dish consisting primarily of meat and also including couscous,A,01-01-2020,GOODS,,,"""11-2020"""
011-1426,11,Electric warmers to melt scented wax tarts,D,01-01-2020,GOODS,"On 01-01-2020, this 04-17-2014 entry was deleted as misclassified in compliance with Nice 11-2020. This entry was replaced by ""Electric warmers to melt scented wax tarts"" in Class 21.",,"""11-2020"""
011-948,11,Electric candle warmers,D,01-01-2020,GOODS,"On 01-01-2020, this 05-01-2008 entry was deleted as misclassified in compliance with Nice 11-2020. It was replaced by ""Electric candle warmers"" in Class 21. ""Candle warmers, electric and non-electric"" appears in the Nice Alphabetical List in Class 21.",,"""11-2020"""
011-355,11,Fragrance dispensing unit which also features a night light,D,01-01-2020,GOODS,"On 01-01-2020, this 06-01-2001 entry was deleted as misclassified in compliance with Nice 11-2020. This wording is no longer acceptable. This entry was replaced by ""Electric fragrance diffusers incorporating night lights"" in Class 21.",,"""11-2020"""
011-1085,11,Non-electric air diffusers comprised of a wick in a container used to emit scent when lit sold without scented oil,D,01-01-2020,GOODS,"03-18-10 - The 8-1-04 entry was changed to indicate that the diffusers are sold without the oil. If sold with the oil, they are in Class 3. On 01-01-2020, this 08-01-2004 entry was deleted in compliance with Nice 11-2020 because it is misclassified. This wording is no longer acceptable. This entry was replaced by ""Fragrance lamps sold empty"" in Class 21.",,"""11-2020"""
011-1382,11,Water-powered aromatherapy diffusers comprising a shower bracket used to emit scent during a shower and sold without scented oil,D,01-01-2020,GOODS,"01-16-2014: Entry status changed from ""A"" added to ""X"" example. On 01-01-2020, this 05-16-2013 entry was deleted as misclassified in compliance with Nice 11-2020. This wording is no longer acceptable. It was replaced by ""Non-electric aromatherapy diffusers for use in showers"" in Class 21.",,"""11-2020"""
011-1308,11,"Air diffusers for {specify use, e.g., freezers, aquariums, etc.}",D,01-01-2020,GOODS,"On 01-01-2020, this 08-16-2012 entry was deleted in compliance with Nice 11-2020, and because it was causing confusion among various types of diffusers. This wording is no longer acceptable. ""Aromatic oil diffusers, other than reed diffusers, electric and non-electric"" appears in the Nice Alphabetical List in Class 21. ""Aquarium pumps"" and ""Air diffusers for aquariums"" are in Class 7. ""Diffusers being parts of refrigerators"" are in Class 11. ""Electric aromatic oil diffusers"" and ""Electric essential oil diffusers"" are in Class 21.",,"""11-2020"""
021-4211,21,Aquarium air stones,D,01-01-2020,GOODS,"This entry was transferred from Class 16 to Class 21 pursuant to the 9th edition of Nice Agreement. On 01-01-2020, this 01-01-2007 entry was deleted because it is misclassified. It was replaced by the entry ""Air stones for aquariums"" in Class 7.",,"""11-2020"""
